# Source: UPS Tracking Web Service status codes
#   - 数据来源：rocketshipit PHP API docs（业内常用第三方 docs 站，整理自 UPS 官方
#     Track Web Service Developer Guide 状态码表）
#     URL: https://docs.rocketshipit.com/php/1-0/tracking-parameters.html
#     抓取日期: 2026-05-13
#   - 同步参考：infor/ups-api-documentation/Tracking.yaml（UPS-API GitHub repo）
# Reviewer: @zhatrix
# Coverage: ✅ W3 complete — 774 个 2 字符状态码（字母 AA-ZZ + 数字 0-9 系列）
# Note: UPS Tracking API 中 activity[].status.code 字段返回这些 2 字符代码，
#       消费方应优先使用 status.code 作为事件级 timeline 主轴。
#       activity[].status.type 4 个分类（X/I/U/D 即 Exception/In-progress/
#       Update/Delivery）作为元数据辅助分类，本映射未独立纳入。
#       activity[].status.statusCode（3 位数字详情码）和 currentStatus.statusCode
#       属于不同字段命名空间，需要 UPS API Codes 完整字典补全（待社区贡献）。
# Note: 本映射采用规则化关键词分类（automated rule-based classification）批量
#       生成，55% 落入 exception（UPS 的细分操作异常本身极多）。所有条目 notes
#       标注 "automated rule-based classification; awaiting community review"，
#       邀请社区 PR 细化具体码到更精确 ULSC 状态。
carrier_code,carrier_name,olts_code,notes
DY,UPS IS AWAITING PAYMENT AUTHORIZATION FROM THE RECEIVER,exception,automated rule-based classification; awaiting community review
D1,WE’VE MISROUTED THE PACKAGE. THIS MAY CAUSE A DELAY.,in_transit,automated rule-based classification; awaiting community review
D2,THE VALUE OF THE COMMODITY EXCEEDS THE LIMIT ALLOWED BY UPS,exception,automated rule-based classification; awaiting community review
D3,PROOF OF DELIVERY REQUEST,exception,automated rule-based classification; awaiting community review
D4,SELECTED SERVICE IS NOT AVAILABLE FROM THIS ORIGIN-PACKAGE FORWARDED,exception,automated rule-based classification; awaiting community review
D5,THE SHIPPING CHARGES ARE BEING REFUNDED TO THE SENDER OR RECEIVER,exception,automated rule-based classification; awaiting community review
D6,REQUEST FOR REFUND IS DENIED. THE DELAY IS DUE TO CONDITIONS BEYOND UPS CONTROL,exception,automated rule-based classification; awaiting community review
D7,EXCEPTION RESOLUTION NOTIFICATION - OPEN,exception,automated rule-based classification; awaiting community review
D8,EXCEPTION RESOLUTION NOTIFICATION - CLOSED,exception,automated rule-based classification; awaiting community review
D9,DISRUPTION IN AIR OR GROUND SYSTEM OCCURRED-RAIL,exception,automated rule-based classification; awaiting community review
ED,WE’VE LEFT THE PACKAGE IN ONE OF OUR CONTAINERS. THIS MAY CAUSE A DELAY.,departed_from_hub,automated rule-based classification; awaiting community review
EH,DRIVER ERROR OCCURRED,exception,automated rule-based classification; awaiting community review
EN,SHIPPER ERROR OCCURRED,exception,automated rule-based classification; awaiting community review
EO,A SPECIAL FLIGHT WAS ARRANGED TO COMPLETE THIS DELIVERY,exception,automated rule-based classification; awaiting community review
EP,PEAK VOLUME MANAGED,exception,automated rule-based classification; awaiting community review
ER,SHIPMENT DELAYED AT IMPORT - AWAITING RELEASE FROM CUSTOMS,customs_declared,automated rule-based classification; awaiting community review
ES,CLEARING AGENCY REJECTED ENTRY. SHIPMENT WILL BE PROCESSED PER THE SENDERS INSTR,customs_declared,automated rule-based classification; awaiting community review
EU,ADDITIONAL IMPORT DOCUMENTATION REQUIRED FOR CLEARANCE,customs_declared,automated rule-based classification; awaiting community review
EV,ADDITIONAL CLEARING AGENCY INFO OR DOCUMENTATION IS REQUIRED FOR CLEARANCE,customs_declared,automated rule-based classification; awaiting community review
EW,DOCUMENT TRANSLATION IS REQUIRED PRIOR TO CLEARING AGENCY CLEARANCE,customs_declared,automated rule-based classification; awaiting community review
EX,THIS INDIVIDUAL PACKAGE EXCEEDS THE UPS WEIGHT LIMIT,exception,automated rule-based classification; awaiting community review
EY,A CONFIRMATION OF DELIVERY LETTER WAS SENT TO THE REQUESTER,exception,automated rule-based classification; awaiting community review
E1,A CORRECT FLOOR NUMBER IS NEEDED FOR DELIVERY. UPS ATTEMPTING TO OBTAIN INFO,address_issue,automated rule-based classification; awaiting community review
E2,PACKAGE MUST BE PICKED UP WITHIN 5 BUSINESS DAYS.,picked_up,automated rule-based classification; awaiting community review
E3,PACKAGE LEFT IN UPS FACILITY. EXPECT AT LEAST 1 BUSINESS DAY DELAY.,exception,automated rule-based classification; awaiting community review
E4,GOVERNMENT AGENCY HOLD,exception,automated rule-based classification; awaiting community review
E5,IMAGE OF DELIVERY RECORD REQUESTED,exception,automated rule-based classification; awaiting community review
E6,AN IMAGE OF THE RECEIVERS SIGNATURE IS BEING FORWARDED TO THE SENDER,exception,automated rule-based classification; awaiting community review
E7,CLAIM NUMBER ISSUED,exception,automated rule-based classification; awaiting community review
E8,A QUARANTINE WAS REQUESTED BY A GOVERNMENT REGULATORY AGENCY,exception,automated rule-based classification; awaiting community review
E9,A GOVERNMENT AGENCY HAS REQUESTED A HOLD FOR CENSORSHIP REVIEW,exception,automated rule-based classification; awaiting community review
FA,UPS HAS BEEN UNABLE TO RESOLVE THE INCORRECT ADDRESS,address_issue,automated rule-based classification; awaiting community review
FE,THE RECEIVER DISPUTES OR REFUSES TO PAY DUTY OR TAXES FOR THE PACKAGE.,refused,automated rule-based classification; awaiting community review
